Country,Code,Overall LPI Score,lower bound score,upper bound score,Overall rank,lower bound rank,upper bound ranks,Highest performer,CustomsScore,CustomsRank,InfrastructureScore,InfrastructureRank,International ShipmentScore,International ShipmentRank,Logistics ServicesScore,Logistics ServicesRank,Ease of TrackingScore,Ease of TrackingRank,TimelinessScore,TimelinessRank,ID
Armenia,ARM,2.67,2.35,2.99,92,60,136,53.6,2.63,75,2.38,107,2.75,90,2.75,79,2.5,114,3,98,51
Namibia,NAM,2.66,2.35,2.96,93,64,136,53.1,2.27,125,2.57,81,2.7,97,2.69,86,2.56,106,3.15,82,516
Moldova,MDA,2.65,2.42,2.89,94,67,127,53,2.46,98,2.55,85,3.14,52,2.44,118,2.35,131,2.89,109,498
Nicaragua,NIC,2.65,2.42,2.88,95,67,127,53,2.66,72,2.2,130,2.69,98,2.58,98,2.58,104,3.17,79,558
Algeria,DZA,2.65,2.4,2.9,96,67,127,52.8,2.71,66,2.54,87,2.54,117,2.54,102,2.54,109,3.04,94,12
Colombia,COL,2.64,2.45,2.83,97,72,125,52.5,2.59,79,2.44,98,2.72,95,2.64,91,2.55,108,2.87,111,170
Burkina Faso,BFA,2.64,2.29,2.99,98,60,143,52.5,2.5,88,2.35,111,2.63,105,2.63,94,2.49,115,3.21,71,854
Belarus,BLR,2.64,2.42,2.85,99,70,127,52.5,2.5,87,2.55,86,2.74,91,2.46,116,2.51,113,3.05,93,112
Ghana,GHA,2.63,2.33,2.93,100,66,138,52.1,2.22,130,2.67,70,2.73,93,2.37,121,2.9,73,2.86,113,288
Senegal,SEN,2.62,2.24,3,101,58,146,52,2.61,76,2.3,116,3.03,59,2.53,103,2.65,98,2.53,146,686
Liberia,LBR,2.62,2.36,2.88,102,67,134,51.9,2.57,83,2.57,80,2.57,114,2.86,71,2.57,105,2.57,144,430
Honduras,HND,2.61,2.42,2.79,103,78,127,51.5,2.7,67,2.24,124,2.79,85,2.47,112,2.61,101,2.79,121,340
Ethiopia,ETH,2.59,2.04,3.15,104,49,158,51,2.42,102,2.17,134,2.5,121,2.62,96,2.67,97,3.17,78,231
Nepal,NPL,2.59,2.38,2.8,105,77,132,50.9,2.31,123,2.26,122,2.64,104,2.5,107,2.72,87,3.06,92,524
Solomon Islands,SLB,2.59,2.34,2.84,106,72,137,50.8,2.49,91,2.46,96,2.22,146,2.72,82,2.72,88,2.96,102,90
Burundi,BDI,2.57,2.15,2.99,107,61,154,50.2,2.6,77,2.4,104,2.6,111,2.51,106,2.51,112,2.76,126,108
Bangladesh,BGD,2.56,2.37,2.76,108,81,133,50.1,2.09,138,2.11,138,2.82,80,2.64,93,2.45,122,3.18,75,50
Benin,BEN,2.56,2.16,2.96,109,64,153,50,2.64,73,2.35,109,2.69,99,2.35,123,2.45,123,2.85,115,204
Tunisia,TUN,2.55,2.27,2.83,110,72,144,49.7,2.02,146,2.3,118,2.91,73,2.42,120,2.42,124,3.16,80,788
Fiji,FJI,2.55,1.99,3.1,111,52,158,49.5,2.4,106,2.47,95,2.72,94,2.22,139,2.47,118,2.97,101,242
Angola,AGO,2.54,2.29,2.8,112,77,143,49.4,2.37,114,2.11,140,2.79,84,2.31,128,2.59,103,3.02,96,24
Chad,TCD,2.53,2.14,2.92,113,66,154,49,2.46,97,2.33,112,2.33,136,2.34,125,2.71,90,3.02,97,148
Tajikistan,TJK,2.53,2.32,2.73,114,85,138,48.9,2.35,115,2.36,108,2.73,92,2.47,113,2.47,119,2.74,133,762
