Country,Code,Overall LPI Score,lower bound score,upper bound score,Overall rank,lower bound rank,upper bound ranks,Highest performer,CustomsScore,CustomsRank,InfrastructureScore,InfrastructureRank,International ShipmentScore,International ShipmentRank,Logistics ServicesScore,Logistics ServicesRank,Ease of TrackingScore,Ease of TrackingRank,TimelinessScore,TimelinessRank
Cyprus,CYP,3.13,2.97,3.29,46,36,52,68.4,2.92,42,2.94,46,3.13,45,2.82,58,3.51,32,3.44,75
India,IND,3.12,3.02,3.21,47,41,51,67.9,2.70,52,2.91,47,3.13,46,3.16,40,3.14,52,3.61,56
Argentina,ARG,3.10,3.01,3.19,48,43,51,67.4,2.63,56,2.75,52,3.15,43,3.03,45,3.15,51,3.82,43
Chile,CHL,3.09,2.95,3.24,49,38,55,67.3,2.93,41,2.86,50,2.74,94,2.94,48,3.33,40,3.80,44
Mexico,MEX,3.05,2.95,3.15,50,44,55,65.7,2.55,62,2.95,44,2.83,77,3.04,44,3.28,45,3.66,54
Panama,PAN,3.02,2.82,3.23,51,39,64,65.0,2.76,49,2.63,61,2.87,71,2.83,57,3.26,47,3.76,47
Hungary,HUN,2.99,2.66,3.31,52,35,86,63.8,2.83,45,3.08,38,2.78,86,2.87,53,2.87,71,3.52,62
Vietnam,VNM,2.96,2.78,3.14,53,44,69,63.1,2.68,53,2.56,66,3.04,58,2.89,51,3.10,55,3.44,76
Greece,GRC,2.96,2.67,3.24,54,38,86,62.8,2.48,68,2.94,45,2.85,73,2.69,65,3.31,43,3.49,67
Qatar,QAT,2.95,2.65,3.25,55,37,88,62.6,2.25,99,2.75,51,2.92,63,2.57,81,3.09,57,4.09,22
Costa Rica,CRI,2.91,2.72,3.09,56,50,81,61.3,2.61,58,2.56,67,2.64,105,2.80,59,3.13,54,3.71,51
Slovenia,SVN,2.87,2.71,3.04,57,51,82,60.2,2.59,60,2.65,58,2.84,76,2.90,50,3.16,50,3.10,103
Senegal,SEN,2.86,2.50,3.23,58,39,112,59.8,2.45,70,2.64,59,2.75,90,2.73,63,3.08,58,3.52,63
Romania,ROM,2.84,2.58,3.11,59,48,101,59.1,2.36,85,2.25,99,3.24,34,2.68,66,2.90,66,3.45,73
Oman,OMN,2.84,2.52,3.16,60,44,111,59.1,3.38,24,3.06,40,2.31,137,2.37,108,2.04,145,3.94,32
Tunisia,TUN,2.84,2.46,3.21,61,41,118,58.9,2.43,73,2.56,65,3.36,22,2.36,109,2.56,102,3.57,58
Kazakhstan,KAZ,2.83,2.59,3.08,62,50,99,58.9,2.38,79,2.66,57,3.29,29,2.60,73,2.70,85,3.25,86
Bulgaria,BGR,2.83,2.55,3.12,63,47,105,58.8,2.50,65,2.30,94,3.07,52,2.85,55,2.96,62,3.18,95
Malta,MLT,2.82,2.49,3.16,64,44,114,58.6,2.65,55,2.89,48,2.91,64,2.89,52,2.56,104,3.02,117
Dominican Republic,DOM,2.82,2.61,3.03,65,51,93,58.5,2.51,63,2.34,90,2.59,107,2.42,100,3.17,48,3.85,38
Uganda,UGA,2.82,2.64,3.00,66,52,88,58.4,2.84,44,2.35,89,3.02,60,2.59,76,2.45,114,3.52,60
Peru,PER,2.80,2.66,2.94,67,56,87,57.9,2.50,64,2.66,56,2.75,93,2.61,71,2.89,70,3.38,79
Uzbekistan,UZB,2.79,2.60,2.98,68,53,94,57.5,2.20,107,2.54,70,2.79,83,2.50,89,2.96,63,3.72,50
Benin,BEN,2.79,2.52,3.05,69,50,111,57.4,2.38,80,2.48,73,2.65,103,2.64,70,3.07,60,3.49,66
