Country,Code,Overall LPI Score,lower bound score,upper bound score,Overall rank,lower bound rank,upper bound ranks,Highest performer,CustomsScore,CustomsRank,InfrastructureScore,InfrastructureRank,International ShipmentScore,International ShipmentRank,Logistics ServicesScore,Logistics ServicesRank,Ease of TrackingScore,Ease of TrackingRank,TimelinessScore,TimelinessRank
India,IND,3.08,3.00,3.15,46,44,53,66.4,2.77,52,2.87,56,2.98,54,3.14,38,3.09,54,3.58,44
Mexico,MEX,3.06,2.94,3.18,47,37,59,66.0,2.63,66,3.03,47,3.07,43,3.02,44,3.15,49,3.47,55
Bahrain,BHR,3.05,2.74,3.37,48,33,82,65.7,2.67,60,3.08,43,2.83,72,2.94,53,3.42,34,3.42,60
Argentina,ARG,3.05,2.90,3.19,49,37,61,65.5,2.45,83,2.94,52,3.33,32,2.95,51,3.30,38,3.27,72
Morocco,MAR,3.03,2.86,3.21,50,37,65,65.0,2.64,65,3.14,39,3.01,46,2.89,59,3.01,58,3.51,53
Slovak Republic,SVK,3.03,2.70,3.36,51,33,84,64.9,2.88,45,2.99,48,2.84,71,3.07,43,2.84,68,3.57,46
Philippines,PHL,3.02,2.85,3.20,52,37,67,64.8,2.63,67,2.80,62,2.97,56,3.14,39,3.30,39,3.30,69
Vietnam,VNM,3.00,2.81,3.20,53,37,72,64.1,2.65,63,2.68,72,3.14,39,2.68,82,3.16,47,3.64,38
Romania,ROM,3.00,2.85,3.14,54,45,66,63.8,2.65,61,2.51,87,2.99,53,2.83,64,3.10,53,3.82,29
Bosnia and Herzegovina,BIH,2.99,2.82,3.15,55,44,71,63.5,2.65,62,2.86,57,3.00,49,2.93,54,2.81,71,3.61,41
Uruguay,URY,2.98,2.81,3.16,56,44,72,63.5,2.99,40,2.87,55,2.91,60,2.98,48,2.98,61,3.16,81
"Egypt, Arab Rep.",EGY,2.98,2.79,3.17,57,40,75,63.3,2.60,69,3.07,45,3.00,51,2.95,50,2.86,66,3.39,64
Lithuania,LTU,2.95,2.68,3.22,58,36,87,62.3,2.73,55,2.58,82,2.97,55,2.91,57,2.73,83,3.70,37
Indonesia,IDN,2.94,2.78,3.11,59,46,76,62.2,2.53,75,2.54,85,2.97,57,2.85,62,3.12,52,3.61,42
Peru,PER,2.94,2.78,3.09,60,46,76,61.9,2.68,58,2.73,67,2.87,66,2.91,56,2.99,60,3.40,62
Panama,PAN,2.93,2.75,3.11,61,46,81,61.6,2.56,74,2.94,51,2.76,79,2.84,63,3.01,57,3.47,56
Oman,OMN,2.89,2.63,3.14,62,44,89,60.4,3.10,36,2.96,49,2.78,77,2.73,77,2.59,94,3.17,80
"Yemen, Rep.",YEM,2.89,2.64,3.14,63,45,89,60.3,2.29,110,2.62,74,3.14,38,2.79,69,3.12,51,3.29,70
Colombia,COL,2.87,2.66,3.08,64,46,87,59.8,2.65,64,2.72,68,2.76,78,2.95,52,2.66,85,3.45,57
Estonia,EST,2.86,2.55,3.17,65,41,102,59.5,2.51,79,2.79,63,2.82,74,2.82,65,3.00,59,3.23,75
Ukraine,UKR,2.85,2.72,2.99,66,55,84,59.3,2.41,88,2.69,70,2.72,83,2.85,61,3.15,50,3.31,68
Benin,BEN,2.85,2.53,3.17,67,41,104,59.3,2.59,70,2.57,83,2.44,119,2.90,58,2.87,65,3.74,36
Botswana,BWA,2.84,2.46,3.22,68,36,118,58.9,2.82,48,2.82,60,2.53,111,2.74,75,2.73,81,3.43,58
Greece,GRC,2.83,2.50,3.16,69,43,108,58.6,2.38,94,2.88,53,2.69,87,2.76,73,2.98,63,3.32,67
Kuwait,KWT,2.83,2.60,3.06,70,48,93,58.5,2.73,53,2.82,61,2.68,90,2.68,84,2.98,62,3.11,87
Pakistan,PAK,2.83,2.57,3.08,71,46,98,58.4,2.85,46,2.69,71,2.86,68,2.77,72,2.61,90,3.14,83
Mauritius,MUS,2.82,2.57,3.07,72,47,98,58.2,2.58,72,2.83,59,2.50,113,2.67,85,2.83,69,3.52,52
Malawi,MWI,2.81,2.56,3.06,73,48,101,57.8,2.51,77,2.78,64,3.01,48,2.85,60,2.56,102,3.09,88
Guatemala,GTM,2.80,2.64,2.97,74,58,89,57.7,2.62,68,2.59,81,2.82,75,2.78,71,2.80,73,3.19,77
Serbia,SRB,2.80,2.52,3.08,75,46,106,57.6,2.39,92,2.62,75,2.76,80,2.80,66,3.07,55,3.14,82
Latvia,LVA,2.78,2.50,3.06,76,48,109,56.9,2.71,56,2.52,86,2.72,84,2.64,93,2.97,64,3.08,90
Georgia,GEO,2.77,2.54,3.01,77,53,104,56.8,2.90,44,2.85,58,2.68,91,2.78,70,2.59,93,2.86,115
Albania,ALB,2.77,2.48,3.06,78,47,112,56.7,2.43,86,2.43,99,2.84,70,2.65,91,2.65,88,3.58,45
Ecuador,ECU,2.76,2.61,2.91,79,62,91,56.2,2.36,98,2.62,76,2.86,67,2.65,90,2.58,96,3.42,59
"Bahamas, The",BHS,2.75,2.51,2.99,80,55,107,56.1,2.69,57,2.77,66,2.72,81,2.69,80,2.65,87,2.99,98
Sri Lanka,LKA,2.75,2.47,3.03,81,50,116,56.0,2.58,71,2.50,89,3.00,50,2.80,68,2.65,86,2.90,110
Costa Rica,CRI,2.75,2.58,2.91,82,62,97,55.9,2.47,80,2.60,80,2.85,69,2.53,101,2.81,72,3.19,78
C�te d'Ivoire,CIV,2.73,2.51,2.96,83,58,108,55.4,2.31,107,2.31,114,2.90,62,2.73,78,2.69,84,3.36,65
Madagascar,MDG,2.72,2.43,3.02,84,53,122,55.1,2.80,50,2.40,108,2.40,124,2.80,67,2.80,74,3.13,84
Dominican Republic,DOM,2.70,2.55,2.85,85,68,102,54.4,2.53,76,2.61,77,2.83,73,2.74,76,2.49,110,2.97,100
Kazakhstan,KAZ,2.69,2.46,2.93,86,61,118,54.2,2.58,73,2.60,79,2.67,92,2.75,74,2.83,70,2.73,132
Niger,NER,2.69,2.35,3.04,87,50,130,54.1,2.67,59,2.45,96,2.91,61,2.49,105,2.49,109,3.07,91
Tanzania,TZA,2.65,2.52,2.79,88,76,107,52.9,2.17,130,2.41,105,2.91,59,2.64,94,2.77,77,2.97,99
Namibia,NAM,2.65,2.45,2.86,89,66,120,52.9,2.73,54,2.72,69,2.49,114,2.65,88,2.85,67,2.52,144
Bolivia,BOL,2.61,2.32,2.90,90,62,134,51.6,2.40,89,2.39,109,2.60,104,2.58,97,2.73,82,2.95,103
Belarus,BLR,2.61,2.38,2.84,91,68,127,51.6,2.24,121,2.78,65,2.58,107,2.65,89,2.58,98,2.87,114
Syrian Arab Republic,SYR,2.60,2.39,2.82,92,73,127,51.3,2.33,104,2.54,84,2.62,100,2.48,107,2.35,125,3.26,73
El Salvador,SLV,2.60,2.44,2.76,93,79,121,51.2,2.28,114,2.46,95,2.57,108,2.60,95,2.60,92,3.08,89
Guinea-Bissau,GNB,2.60,2.26,2.93,94,61,139,51.1,2.39,90,2.68,73,2.61,103,2.58,98,2.58,97,2.74,128
Russian Federation,RUS,2.58,2.49,2.68,95,88,109,50.7,2.04,138,2.45,97,2.59,106,2.65,92,2.76,79,3.02,94
Lebanon,LBN,2.58,2.26,2.90,96,62,139,50.6,2.21,124,2.41,102,2.71,85,2.38,119,2.61,91,3.11,86
Togo,TGO,2.58,2.32,2.84,97,68,134,50.5,2.29,112,2.46,94,3.13,40,2.29,124,2.46,115,2.77,123
Central African Republic,CAF,2.57,2.25,2.90,98,62,140,50.3,2.45,82,2.09,134,2.33,132,2.70,79,2.48,113,3.33,66
"Macedonia, FYR",MKD,2.56,2.26,2.87,99,64,139,50.1,2.24,120,2.60,78,2.66,95,2.66,86,2.41,120,2.79,120
Armenia,ARM,2.56,2.35,2.78,100,76,130,50.0,2.27,116,2.38,110,2.65,96,2.40,115,2.57,99,3.07,92
Cambodia,KHM,2.56,2.23,2.89,101,62,142,50.0,2.30,108,2.20,128,2.61,101,2.50,103,2.77,78,2.95,104
Jordan,JOR,2.56,2.25,2.87,102,65,140,49.8,2.27,115,2.48,91,2.88,63,2.17,137,2.55,104,2.92,106
Zimbabwe,ZWE,2.55,2.34,2.75,103,80,131,49.6,2.31,105,2.20,127,2.67,93,2.27,127,2.50,107,3.27,71
Maldives,MDV,2.55,2.37,2.72,104,85,128,49.4,2.24,119,2.47,93,2.47,117,2.68,81,2.43,118,2.96,102
Honduras,HND,2.53,2.38,2.69,105,88,127,49.1,2.39,91,2.35,111,2.70,86,2.44,109,2.35,126,2.90,108
Cameroon,CMR,2.53,2.35,2.70,106,85,129,48.9,2.37,96,2.24,121,2.37,128,2.41,114,2.55,103,3.19,76
Bhutan,BTN,2.52,2.38,2.66,107,88,127,48.6,2.29,109,2.29,117,2.61,102,2.42,111,2.56,101,2.90,111
Ghana,GHA,2.51,2.13,2.89,108,64,146,48.2,2.33,103,2.05,136,2.81,76,2.68,83,2.31,133,2.76,125
Lao PDR,LAO,2.50,2.16,2.84,109,69,145,48.0,2.38,93,2.40,106,2.40,123,2.49,104,2.49,111,2.82,118
Senegal,SEN,2.49,2.25,2.73,110,84,139,47.7,2.46,81,2.31,115,2.72,82,2.55,99,2.10,145,2.74,130
"Venezuela, RB",VEN,2.49,2.31,2.67,111,88,134,47.7,2.10,134,2.17,129,2.54,109,2.33,123,2.57,100,3.18,79
"Iran, Islamic Rep.",IRN,2.49,2.25,2.73,112,84,139,47.6,2.19,126,2.42,100,2.49,115,2.66,87,2.49,108,2.66,138
Paraguay,PRY,2.48,2.30,2.67,113,88,134,47.4,2.36,97,2.41,103,2.31,137,2.49,106,2.59,95,2.74,127
Sco Tomi and Principe,STP,2.48,2.21,2.75,114,80,142,47.4,2.33,100,2.24,122,2.33,136,2.42,113,2.78,76,2.78,121
Guinea,GIN,2.48,2.19,2.77,115,79,144,47.4,2.42,87,2.34,112,2.67,94,2.59,96,2.33,131,2.50,147
Azerbaijan,AZE,2.48,2.02,2.95,116,59,153,47.4,1.92,147,2.42,101,2.43,120,2.14,143,2.75,80,3.23,74
Uzbekistan,UZB,2.46,2.00,2.93,117,61,153,46.9,2.25,118,2.25,120,2.38,127,2.39,117,2.53,105,2.96,101
"Gambia, The",GMB,2.46,2.23,2.70,118,86,142,46.8,2.29,111,1.90,147,2.63,98,2.55,100,2.80,75,2.55,142
Liberia,LBR,2.45,2.22,2.68,119,88,142,46.3,2.00,140,2.41,104,2.54,110,2.46,108,2.42,119,2.84,117
Montenegro,MNE,2.45,2.21,2.69,120,88,142,46.3,2.31,106,2.30,116,2.22,141,2.35,120,2.62,89,2.89,112
Nigeria,NGA,2.45,2.24,2.65,121,90,140,46.3,1.97,146,2.27,118,2.60,105,2.52,102,2.35,128,2.92,105
Kenya,KEN,2.43,2.15,2.71,122,85,145,45.9,2.08,136,2.16,130,2.69,88,2.38,118,2.34,130,2.88,113
Fiji,FJI,2.42,2.17,2.67,123,88,144,45.4,2.07,137,2.22,123,2.41,122,2.18,136,2.48,112,3.12,85
Jamaica,JAM,2.42,2.24,2.60,124,94,140,45.3,2.22,123,2.27,119,2.43,121,2.21,132,2.43,117,2.91,107
Algeria,DZA,2.41,2.15,2.68,125,88,145,45.3,2.26,117,2.02,139,2.68,89,2.13,145,2.46,114,2.85,116
Solomon Islands,SLB,2.41,2.21,2.61,126,90,142,45.2,2.37,95,2.03,137,2.44,118,2.14,144,2.39,122,3.04,93
Mauritania,MRT,2.40,2.12,2.68,127,88,146,44.7,2.33,102,2.34,113,2.52,112,2.28,125,2.28,135,2.60,139
Papua New Guinea,PNG,2.38,2.13,2.62,128,90,146,44.0,1.98,145,2.20,126,2.34,131,2.18,135,2.51,106,3.01,95
Myanmar,MMR,2.37,2.10,2.64,129,90,148,43.8,2.24,122,2.10,133,2.47,116,2.42,110,2.34,129,2.59,140
Kyrgyz Republic,KGZ,2.35,2.18,2.52,130,107,144,43.3,2.45,84,2.49,90,2.00,147,2.25,129,2.31,132,2.69,135
Gabon,GAB,2.34,1.94,2.75,131,82,153,43.0,2.00,142,2.00,143,2.40,125,2.40,116,2.20,137,3.00,96
Moldova,MDA,2.33,2.14,2.52,132,107,146,42.6,2.17,129,2.44,98,2.08,145,2.15,142,2.44,116,2.74,126
Guyana,GUY,2.33,2.13,2.52,133,107,146,42.5,2.29,113,2.15,131,2.35,129,2.33,122,2.14,140,2.67,136
Burkina Faso,BFA,2.32,2.05,2.60,134,95,150,42.3,2.12,132,2.40,107,2.33,133,2.28,126,2.13,142,2.67,137
Afghanistan,AFG,2.30,2.13,2.47,135,117,146,41.5,2.33,99,2.00,141,2.33,134,2.16,139,2.10,146,2.80,119
Tajikistan,TJK,2.28,2.03,2.53,136,105,151,41.1,2.43,85,2.03,138,2.33,135,2.22,130,2.13,143,2.51,146
Libya,LBY,2.28,2.08,2.49,137,113,150,41.0,2.08,135,1.75,152,2.63,99,2.25,128,2.38,123,2.51,145
Angola,AGO,2.28,2.03,2.52,138,108,151,40.8,2.33,101,2.48,92,2.26,139,2.00,149,2.00,147,2.59,141
Rwanda,RWA,2.27,2.05,2.49,139,113,150,40.5,2.19,127,1.88,148,2.27,138,2.06,147,2.39,121,2.76,124
Mongolia,MNG,2.25,2.07,2.43,140,123,150,40.0,1.98,144,2.22,125,2.13,142,1.88,152,2.29,134,2.99,97
Ethiopia,ETH,2.24,2.07,2.40,141,127,150,39.6,2.03,139,2.22,124,2.35,130,2.16,140,2.10,144,2.54,143
Lesotho,LSO,2.24,1.87,2.61,142,92,153,39.5,2.00,143,2.13,132,2.13,143,2.42,112,1.99,148,2.73,131
"Congo, Dem. Rep.",ZAR,2.21,2.01,2.40,143,127,153,38.6,2.10,133,1.96,144,2.23,140,2.17,138,2.35,124,2.38,149
Cuba,CUB,2.20,2.02,2.37,144,129,153,38.3,2.18,128,2.08,135,2.12,144,2.21,131,2.26,136,2.31,152
Iraq,IRQ,2.16,1.98,2.34,145,132,153,37.1,1.75,152,1.92,146,2.38,126,2.19,134,1.86,151,2.77,122
Comoros,COM,2.14,1.92,2.36,146,130,153,36.5,2.00,141,1.94,145,1.81,153,2.20,133,2.20,138,2.70,134
Eritrea,ERI,2.11,1.69,2.53,147,106,154,35.5,1.78,151,1.83,150,2.63,97,2.03,148,1.83,152,2.43,148
Sudan,SDN,2.10,1.83,2.38,148,128,153,35.3,2.14,131,2.01,140,1.93,150,2.33,121,1.89,150,2.31,151
"Congo, Rep.",COG,2.08,1.85,2.31,149,135,153,34.7,1.80,149,1.27,155,1.94,149,2.15,141,2.35,127,2.90,109
Sierra Leone,SLE,2.08,1.80,2.36,150,130,154,34.5,1.73,153,2.50,88,1.85,152,1.98,151,2.14,141,2.35,150
Nepal,NPL,2.04,1.74,2.33,151,134,154,33.1,2.20,125,1.87,149,1.86,151,2.12,146,1.95,149,2.21,153
Chad,TCD,2.03,1.68,2.37,152,129,154,32.9,1.86,148,2.00,142,2.00,146,2.00,150,1.57,155,2.71,133
Haiti,HTI,2.03,1.87,2.19,153,145,153,32.8,1.78,150,1.78,151,1.94,148,1.74,154,2.15,139,2.74,129
Djibouti,DJI,1.80,1.58,2.02,154,154,155,25.5,1.72,154,1.51,154,1.77,154,1.84,153,1.73,153,2.19,154
Burundi,BDI,1.61,1.29,1.93,155,154,155,19.5,1.67,155,1.68,153,1.57,155,1.43,155,1.67,154,1.67,155
,,,,,,,,,,,,,,,,,,,,
