Country,Code,Overall LPI Score,lower bound score,upper bound score,Overall rank,lower bound rank,upper bound ranks,Highest performer,CustomsScore,CustomsRank,InfrastructureScore,InfrastructureRank,International ShipmentScore,International ShipmentRank,Logistics ServicesScore,Logistics ServicesRank,Ease of TrackingScore,Ease of TrackingRank,TimelinessScore,TimelinessRank,ID
Kuwait,KWT,3.28,3.09,3.47,36,28,49,73.2,3.03,38,3.33,32,3.12,47,3.11,43,3.44,34,3.7,52,414
Latvia,LVA,3.25,3.02,3.48,37,28,51,72.2,2.94,40,2.88,49,3.38,21,2.96,46,3.55,29,3.72,49,428
Slovak Republic,SVK,3.24,3.02,3.46,38,28,51,71.9,2.79,47,3,42,3.05,57,3.15,41,3.54,31,3.92,34,703
Turkey,TUR,3.22,3.08,3.37,39,33,49,71.4,2.82,46,3.08,39,3.15,44,3.23,37,3.09,56,3.94,31,792
Saudi Arabia,SAU,3.22,3.09,3.36,40,33,49,71.3,2.91,43,3.27,33,2.8,82,3.33,32,3.32,42,3.78,45,682
Brazil,BRA,3.2,3.1,3.29,41,35,47,70.6,2.37,82,3.1,37,2.91,65,3.3,34,3.42,36,4.14,20,76
Iceland,ISL,3.2,3.02,3.37,42,32,51,70.5,3.22,30,3.33,31,3.1,51,3.14,42,3.14,53,3.27,84,352
Estonia,EST,3.16,2.85,3.47,43,28,58,69.3,3.14,33,2.75,53,3.17,40,3.17,38,2.95,65,3.68,53,233
Philippines,PHL,3.14,2.99,3.29,44,35,51,68.8,2.67,54,2.57,64,3.4,20,2.95,47,3.29,44,3.83,42,608
Lithuania,LTU,3.13,2.89,3.38,45,32,56,68.5,2.79,48,2.72,54,3.19,38,2.85,56,3.27,46,3.92,35,440
Cyprus,CYP,3.13,2.97,3.29,46,36,52,68.4,2.92,42,2.94,46,3.13,45,2.82,58,3.51,32,3.44,75,196
India,IND,3.12,3.02,3.21,47,41,51,67.9,2.7,52,2.91,47,3.13,46,3.16,40,3.14,52,3.61,56,356
Argentina,ARG,3.1,3.01,3.19,48,43,51,67.4,2.63,56,2.75,52,3.15,43,3.03,45,3.15,51,3.82,43,32
Chile,CHL,3.09,2.95,3.24,49,38,55,67.3,2.93,41,2.86,50,2.74,94,2.94,48,3.33,40,3.8,44,152
Mexico,MEX,3.05,2.95,3.15,50,44,55,65.7,2.55,62,2.95,44,2.83,77,3.04,44,3.28,45,3.66,54,484
Panama,PAN,3.02,2.82,3.23,51,39,64,65,2.76,49,2.63,61,2.87,71,2.83,57,3.26,47,3.76,47,591
Hungary,HUN,2.99,2.66,3.31,52,35,86,63.8,2.83,45,3.08,38,2.78,86,2.87,53,2.87,71,3.52,62,348
Vietnam,VNM,2.96,2.78,3.14,53,44,69,63.1,2.68,53,2.56,66,3.04,58,2.89,51,3.1,55,3.44,76,704
Greece,GRC,2.96,2.67,3.24,54,38,86,62.8,2.48,68,2.94,45,2.85,73,2.69,65,3.31,43,3.49,67,300
Qatar,QAT,2.95,2.65,3.25,55,37,88,62.6,2.25,99,2.75,51,2.92,63,2.57,81,3.09,57,4.09,22,634
Costa Rica,CRI,2.91,2.72,3.09,56,50,81,61.3,2.61,58,2.56,67,2.64,105,2.8,59,3.13,54,3.71,51,188
Slovenia,SVN,2.87,2.71,3.04,57,51,82,60.2,2.59,60,2.65,58,2.84,76,2.9,50,3.16,50,3.1,103,705
Senegal,SEN,2.86,2.5,3.23,58,39,112,59.8,2.45,70,2.64,59,2.75,90,2.73,63,3.08,58,3.52,63,686
Romania,ROM,2.84,2.58,3.11,59,48,101,59.1,2.36,85,2.25,99,3.24,34,2.68,66,2.9,66,3.45,73,642
Oman,OMN,2.84,2.52,3.16,60,44,111,59.1,3.38,24,3.06,40,2.31,137,2.37,108,2.04,145,3.94,32,512
Tunisia,TUN,2.84,2.46,3.21,61,41,118,58.9,2.43,73,2.56,65,3.36,22,2.36,109,2.56,102,3.57,58,788
Kazakhstan,KAZ,2.83,2.59,3.08,62,50,99,58.9,2.38,79,2.66,57,3.29,29,2.6,73,2.7,85,3.25,86,398
Bulgaria,BGR,2.83,2.55,3.12,63,47,105,58.8,2.5,65,2.3,94,3.07,52,2.85,55,2.96,62,3.18,95,100
Malta,MLT,2.82,2.49,3.16,64,44,114,58.6,2.65,55,2.89,48,2.91,64,2.89,52,2.56,104,3.02,117,470
Dominican Republic,DOM,2.82,2.61,3.03,65,51,93,58.5,2.51,63,2.34,90,2.59,107,2.42,100,3.17,48,3.85,38,214
Uganda,UGA,2.82,2.64,3,66,52,88,58.4,2.84,44,2.35,89,3.02,60,2.59,76,2.45,114,3.52,60,800
Peru,PER,2.8,2.66,2.94,67,56,87,57.9,2.5,64,2.66,56,2.75,93,2.61,71,2.89,70,3.38,79,604
Uzbekistan,UZB,2.79,2.6,2.98,68,53,94,57.5,2.2,107,2.54,70,2.79,83,2.5,89,2.96,63,3.72,50,860
Benin,BEN,2.79,2.52,3.05,69,50,111,57.4,2.38,80,2.48,73,2.65,103,2.64,70,3.07,60,3.49,66,204
Honduras,HND,2.78,2.69,2.87,70,58,82,57.1,2.39,76,2.31,93,2.67,101,2.57,82,2.83,74,3.83,41,340
Ecuador,ECU,2.77,2.65,2.9,71,57,88,57,2.32,92,2.38,82,2.86,72,2.6,72,2.84,72,3.55,59,218
Colombia,COL,2.77,2.6,2.95,72,56,94,57,2.5,66,2.59,62,2.54,112,2.75,61,2.75,82,3.52,64,170
"Macedonia, FYR",MKD,2.77,2.62,2.93,73,56,90,56.9,2.55,61,2.55,68,2.83,79,2.76,60,2.82,76,3.1,105,807
Croatia,HRV,2.77,2.51,3.03,74,51,112,56.8,2.62,57,2.36,87,2.97,62,2.53,87,2.82,75,3.22,91,191
Indonesia,IDN,2.76,2.6,2.92,75,56,96,56.5,2.43,72,2.54,69,2.82,80,2.47,92,2.77,80,3.46,69,360
Paraguay,PRY,2.75,2.62,2.89,76,57,91,56.3,2.37,84,2.44,78,2.87,70,2.59,78,2.72,83,3.46,72,600
Uruguay,URY,2.75,2.62,2.89,77,57,91,56.3,2.71,51,2.58,63,2.77,88,2.59,74,2.78,79,3.06,112,858
"Bahamas, The",BHS,2.75,2.57,2.92,78,56,104,56.1,2.38,78,2.4,81,2.69,99,2.69,64,2.81,77,3.46,71,44
Bangladesh,BGD,2.74,2.6,2.88,79,57,94,56,2.33,90,2.49,72,2.99,61,2.44,96,2.64,92,3.46,70,50
Syrian Arab Republic,SYR,2.74,2.56,2.92,80,56,104,55.9,2.37,83,2.45,75,2.87,68,2.59,75,2.63,95,3.45,74,760
Jordan,JOR,2.74,2.57,2.91,81,56,104,55.8,2.31,93,2.69,55,3.11,49,2.49,90,2.33,133,3.39,78,400
Mauritius,MUS,2.72,2.34,3.1,82,48,131,55.3,2.71,50,2.29,96,3.24,33,2.43,97,2.57,100,2.91,127,480
Serbia,SRB,2.69,2.32,3.05,83,50,133,54.1,2.19,108,2.3,95,3.41,18,2.55,84,2.67,88,2.8,137,688
"Venezuela, RB",VEN,2.68,2.54,2.81,84,67,105,53.9,2.06,133,2.44,76,3.05,56,2.53,85,2.84,73,3.05,116,862
"Congo, Dem. Rep.",ZAR,2.68,2.19,3.16,85,43,147,53.8,2.6,59,2.27,98,2.56,109,2.93,49,2.43,119,3.2,94,180
El Salvador,SLV,2.67,2.51,2.84,86,60,112,53.7,2.48,67,2.44,77,2.18,148,2.66,68,2.68,87,3.63,55,222
Bosnia and Herzegovina,BIH,2.66,2.4,2.93,87,56,125,53.4,2.33,89,2.22,105,3.1,50,2.3,116,2.68,86,3.18,96,70
Madagascar,MDG,2.66,2.38,2.93,88,56,126,53.2,2.35,87,2.63,60,3.06,53,2.4,102,2.51,109,2.9,128,450
Azerbaijan,AZE,2.64,2.44,2.84,89,61,120,52.6,2.14,117,2.23,104,3.05,55,2.48,91,2.65,91,3.15,100,31
Guatemala,GTM,2.63,2.43,2.83,90,64,120,52.4,2.33,91,2.37,84,2.16,150,2.74,62,2.71,84,3.52,61,320
Kyrgyz Republic,KGZ,2.62,2.38,2.86,91,59,127,52,2.44,71,2.09,118,3.18,39,2.37,107,2.33,132,3.1,106,417
"Egypt, Arab Rep.",EGY,2.61,2.24,2.99,92,52,143,51.8,2.11,122,2.22,106,2.56,110,2.87,54,2.56,101,3.31,81,818
Georgia,GEO,2.61,2.48,2.75,93,78,115,51.8,2.37,81,2.17,109,2.73,95,2.57,83,2.67,89,3.08,111,268
Russian Federation,RUS,2.61,2.51,2.71,94,83,112,51.6,2.15,115,2.38,83,2.72,96,2.51,88,2.6,97,3.23,88,643
Tanzania,TZA,2.6,2.41,2.79,95,68,124,51.4,2.42,74,2,129,2.78,85,2.38,105,2.56,103,3.33,80,834
Togo,TGO,2.6,2.31,2.89,96,57,134,51.4,2.4,75,1.82,142,2.42,126,2.45,94,3.42,35,3.02,118,768
Guinea,GIN,2.6,2.17,3.02,97,52,147,51.2,2.34,88,2.1,116,2.43,124,2.68,67,2.89,68,3.1,104,324
Haiti,HTI,2.59,2.38,2.8,98,68,126,51.1,2.12,121,2.17,108,3.17,41,2.46,93,2.43,120,3.02,119,332
Kenya,KEN,2.59,2.39,2.79,99,68,126,51,2.23,103,2.14,113,2.84,75,2.28,122,2.89,69,3.06,113,404
Nigeria,NGA,2.59,2.4,2.77,100,74,124,51,2.17,109,2.43,80,2.84,74,2.45,95,2.45,116,3.1,107,566
"Yemen, Rep.",YEM,2.58,2.01,3.16,101,43,152,50.8,2.46,69,2.35,88,2.24,142,2.35,110,2.63,94,3.48,68,887
Ukraine,UKR,2.57,2.26,2.89,102,57,140,50.6,2.02,135,2.44,79,2.79,84,2.59,77,2.49,112,3.06,114,804
"Iran, Islamic Rep.",IRN,2.57,2.41,2.74,103,80,124,50.5,2.22,106,2.36,86,2.44,121,2.65,69,2.5,110,3.26,85,364
Moldova,MDA,2.57,2.43,2.71,104,83,120,50.5,2.11,124,2.05,123,2.83,78,2.17,132,3,61,3.17,97,498
Cameroon,CMR,2.55,2.25,2.84,105,59,140,49.7,2.11,123,2.1,115,2.69,100,2.53,86,2.6,98,3.16,99,120
Niger,NER,2.54,2.26,2.82,106,66,140,49.4,2.06,132,2.28,97,2.66,102,2.42,98,2.45,115,3.28,83,562
Nicaragua,NIC,2.54,2.33,2.75,107,78,133,49.3,2.24,101,2.23,102,2.63,106,2.31,114,2.51,107,3.21,92,558
Jamaica,JAM,2.53,2.11,2.96,108,54,147,49.2,2,140,2.07,121,2.82,81,2.32,112,3.07,59,2.82,134,388
C•À_te d'Ivoire,CIV,2.53,2.28,2.79,109,69,138,49.2,2.16,114,2.37,85,2.44,122,2.57,80,2.95,64,2.73,140,384
Pakistan,PAK,2.53,2.34,2.72,110,83,131,49.1,2.05,134,2.08,120,2.91,66,2.28,120,2.64,93,3.08,110,586
Armenia,ARM,2.52,2.32,2.73,111,82,133,48.9,2.1,125,2.32,92,2.43,123,2.59,79,2.26,139,3.4,77,51
Bolivia,BOL,2.51,2.37,2.66,112,89,129,48.5,2.26,97,2.24,100,2.53,115,2.38,104,2.38,127,3.2,93,68
"Gambia, The",GMB,2.49,2.24,2.74,113,79,143,48,2.38,77,2.17,110,2.54,113,2.37,106,2.27,137,3.15,101,270
Turkmenistan,TKM,2.49,2.26,2.72,114,83,140,47.9,2.14,119,2.24,101,2.31,138,2.34,111,2.38,126,3.51,65,795
Chad,TCD,2.49,2.18,2.8,115,67,147,47.9,2.27,96,2,128,2.75,91,2.04,145,2.62,96,3.14,102,148
"Congo, Rep.",COG,2.48,2.11,2.84,116,60,147,47.4,2.02,137,1.62,151,2.33,132,2.42,101,2.33,131,4,27,178
Ghana,GHA,2.47,2.15,2.79,117,68,147,47.3,2.35,86,2.52,71,2.38,129,2.42,99,2.51,108,2.67,142,288
Lao PDR,LAO,2.46,2.28,2.64,118,89,138,47,2.17,113,1.95,132,2.7,97,2.14,137,2.45,113,3.23,89,418
Albania,ALB,2.46,2.22,2.7,119,83,145,46.8,2.07,129,2.14,112,2.64,104,2.39,103,2.39,124,3.01,120,8
Comoros,COM,2.45,2.16,2.73,120,82,147,46.5,1.96,142,1.76,146,2.56,108,2.26,124,2.79,78,3.23,90,174
Montenegro,MNE,2.43,2.2,2.66,121,88,147,45.9,2.17,112,2.45,74,2.54,114,2.32,113,2.44,117,2.65,145,499
Gabon,GAB,2.41,2.15,2.68,122,84,147,45.4,2.23,102,2.09,117,2.29,139,2.31,115,2.67,90,2.87,130,266
Ethiopia,ETH,2.41,2.1,2.73,123,82,149,45.4,2.13,120,1.77,145,2.76,89,2.14,136,2.89,67,2.65,144,231
Papua New Guinea,PNG,2.41,2.21,2.62,124,92,146,45.3,2.02,138,1.91,135,2.55,111,2.2,131,2.43,118,3.24,87,598
Maldives,MDV,2.4,2.19,2.62,125,91,147,45.1,2.25,98,2.16,111,2.42,125,2.29,117,2.42,121,2.83,133,462
Djibouti,DJI,2.39,2.17,2.62,126,91,147,44.8,2.25,100,2.33,91,2.5,116,2.17,133,2.42,123,2.67,143,262
Liberia,LBR,2.38,2.13,2.64,127,90,147,44.4,2.28,94,2,126,2.33,133,2.16,134,2.38,125,3.08,109,430
Bhutan,BTN,2.38,2.09,2.67,128,87,149,44.3,2.14,118,1.83,141,2.44,120,2.24,127,2.54,105,2.99,122,64
Cambodia,KHM,2.37,2.15,2.59,129,100,147,44,2.28,95,2.12,114,2.19,146,2.29,118,2.5,111,2.84,132,116
Algeria,DZA,2.36,2.23,2.49,130,116,144,43.7,1.97,141,2.06,122,2.7,98,2.24,129,2.26,138,2.81,136,12
Tajikistan,TJK,2.35,2.17,2.52,131,112,147,43.2,1.9,147,2,127,2.42,127,2.25,125,2.25,141,3.16,98,762
Libya,LBY,2.33,2.01,2.66,132,88,152,42.8,2.15,116,2.18,107,2.28,140,2.28,121,2.08,143,2.98,124,434
Myanmar,MMR,2.33,2.09,2.56,133,105,149,42.7,1.94,146,1.92,134,2.37,131,2.01,148,2.36,129,3.29,82,104
Botswana,BWA,2.32,1.96,2.68,134,85,153,42.3,2.09,126,2.09,119,1.91,152,2.29,119,2.59,99,2.99,123,72
Solomon Islands,SLB,2.31,2.16,2.46,135,120,147,42,2.08,127,2.23,103,2.18,147,2.27,123,2.03,147,3.05,115,90
Mozambique,MOZ,2.29,1.99,2.6,136,98,152,41.5,1.95,145,2.04,124,2.77,87,2.2,130,2.28,135,2.4,150,508
Sri Lanka,LKA,2.29,2.02,2.56,137,105,152,41.4,1.96,143,1.88,138,2.48,117,2.09,142,2.23,142,2.98,125,144
Zambia,ZMB,2.28,1.76,2.81,138,67,153,41.2,2.17,111,1.83,140,2.41,128,2.01,149,2.35,130,2.85,131,894
Mali,MLI,2.27,1.92,2.62,139,92,153,40.7,2.08,128,2,125,2.17,149,2.13,138,2.31,134,2.9,129,466
Guyana,GUY,2.27,2.1,2.44,140,121,149,40.7,2.02,136,1.99,130,2.31,136,2.25,126,2.28,136,2.7,141,328
Mongolia,MNG,2.25,2.05,2.45,141,121,150,40.2,1.81,149,1.94,133,2.46,119,2.24,128,2.42,122,2.55,147,496
Angola,AGO,2.25,2.03,2.46,142,119,151,40.1,1.75,151,1.69,149,2.38,130,2.02,147,2.54,106,3.01,121,24
Afghanistan,AFG,2.24,2.06,2.42,143,122,150,39.9,2.22,104,1.87,139,2.24,141,2.09,141,2.37,128,2.61,146,4
Fiji,FJI,2.24,2,2.47,144,118,152,39.7,1.95,144,1.98,131,2.48,118,2.11,139,1.96,151,2.82,135,242
Burkina Faso,BFA,2.23,1.75,2.7,145,83,153,39.4,2.22,105,1.89,137,1.73,153,2.02,146,2.77,81,2.77,138,854
Sudan,SDN,2.21,1.84,2.57,146,105,153,38.7,2.02,139,1.78,144,2.11,151,2.15,135,2.02,148,3.09,108,736
Nepal,NPL,2.2,2.01,2.4,147,126,152,38.6,2.07,131,1.8,143,2.21,143,2.07,143,2.26,140,2.74,139,524
Iraq,IRQ,2.11,1.87,2.34,148,132,153,35.5,2.07,130,1.73,147,2.2,144,2.1,140,1.96,150,2.49,148,368
Guinea-Bissau,GNB,2.1,1.69,2.52,149,112,154,35.4,1.89,148,1.56,153,2.75,92,1.56,153,1.71,153,2.91,126,624
Cuba,CUB,2.07,1.84,2.29,150,137,153,34.3,1.79,150,1.9,136,2.32,135,1.88,151,2.03,146,2.41,149,192
Rwanda,RWA,2.04,1.73,2.34,151,132,153,33.4,1.63,153,1.63,150,2.88,67,1.85,152,1.99,149,2.05,154,646
Namibia,NAM,2.02,1.63,2.41,152,125,154,32.8,1.68,152,1.71,148,2.2,145,2.04,144,2.04,144,2.38,151,516
Sierra Leone,SLE,1.97,1.75,2.19,153,148,153,31.2,2.17,110,1.61,152,2.33,134,1.53,154,1.73,152,2.33,152,694
Eritrea,ERI,1.7,1.34,2.06,154,151,155,22.4,1.5,154,1.35,155,1.63,154,1.88,150,1.55,154,2.21,153,232
Somalia,SOM,1.34,1.05,1.63,155,155,155,10.9,1.33,155,1.5,154,1.33,155,1.33,155,1.17,155,1.38,155,706
